,代码,名称,收盘价,5日均线,10日均线,20日均线,30日交易量,30日交易额
683,600815.XSHG,*ST厦工,2.32,1.9,2.145,2.3335,71238937.0,171888694.26000002
684,603126.XSHG,中材节能,4.44,3.478,3.774,3.9199999999999995,82850036.0,346786601.31
685,600006.XSHG,东风汽车,4.46,3.508,3.7940000000000005,3.942000000000001,347295373.0,1463829561.7599998
686,603648.XSHG,畅联股份,9.88,7.718000000000001,8.334,8.6325,72183392.0,665144072.1000001
687,600594.XSHG,益佰制药,7.15,5.574000000000001,6.212,6.281000000000001,644194283.0,4262011771.339999
688,600196.XSHG,复星医药,36.0,28.48,31.22,32.248999999999995,884246678.0,30141824466.809998
689,603298.XSHG,杭叉集团,11.86,9.424,10.269,9.988499999999998,182530443.0,1974192540.7500005
690,601518.XSHG,吉林高速,2.5,1.968,2.135,2.2474999999999996,214515392.0,526530460.4199999
691,603188.XSHG,ST亚邦,6.12,4.832,5.316999999999999,5.6240000000000006,30097554.0,178300443.62
692,600319.XSHG,ST亚星,4.27,3.396,3.786,4.1055,39245193.0,167816534.78000003
693,002310.XSHE,东方园林,5.38,4.246,4.594,4.7065,525416622.0,2663440107.26
694,000418.XSHE,小天鹅A,,,,,,
695,300647.XSHE,超频三,9.42,7.138000000000001,7.394000000000001,7.619999999999999,141269699.0,1199530709.09
696,002192.XSHE,*ST融捷,16.36,13.097999999999999,14.220999999999998,15.076500000000001,61411767.0,979482192.1099999
697,000655.XSHE,金岭矿业,6.83,5.252,5.464999999999999,5.739999999999999,444683452.0,2710014717.5200005
698,300318.XSHE,博晖创新,6.7,5.204,5.751,5.880500000000001,567600360.0,3565425248.8400006
699,002488.XSHE,金固股份,6.1,4.7620000000000005,5.054,5.1795,225558958.0,1264239358.9299998
700,300593.XSHE,新雷能,19.64,14.412,15.276,14.799000000000001,107984070.0,1745663316.9299996
701,600007.XSHG,中国国贸,14.55,11.469999999999999,12.367,12.704500000000001,77315146.0,1051260088.1800001
702,600223.XSHG,鲁商发展,13.57,9.882000000000001,9.828,8.936499999999999,888535419.0,8943346072.91
703,002888.XSHE,惠威科技,25.72,19.968,20.924,20.7,110084466.0,2502056374.95
704,688368.XSHG,晶丰明源,103.0,74.366,78.11499999999998,78.1755,20020734.0,1693557582.77
705,600928.XSHG,西安银行,6.25,5.052,5.268000000000001,5.2509999999999994,669084361.0,3926201219.1800003
706,300439.XSHE,美康生物,19.49,15.201999999999998,16.516,17.034,267575907.0,4816215354.4
707,600529.XSHG,山东药玻,59.93,45.538,50.3,49.178999999999995,334666474.0,17946217246.030003
708,601808.XSHG,中海油服,15.52,11.882,12.613000000000001,13.011500000000002,302966503.0,4211807932.6199994
709,300630.XSHE,普利制药,50.45,39.391999999999996,43.49799999999999,45.321,152627939.0,7260770747.45
710,002414.XSHE,高德红外,36.06,26.514,27.85,27.021500000000003,418396210.0,12146632214.17
711,002337.XSHE,赛象科技,3.62,2.842,3.075,3.1900000000000004,88574641.0,302071004.72
712,000791.XSHE,甘肃电投,3.44,2.696,2.912,3.0055,166697098.0,538426599.4
713,300201.XSHE,海伦哲,4.36,3.3899999999999997,3.653,3.721999999999999,389213159.0,1549280422.6799998
714,688358.XSHG,祥生医疗,90.27,70.258,78.88300000000001,77.192,38299628.0,3192145168.94
715,300669.XSHE,沪宁股份,33.43,25.826,28.76,30.530999999999995,28957203.0,928279082.11
716,600368.XSHG,五洲交通,3.78,2.982,3.246,3.372,187637239.0,676368163.3
